first_name,last_name,date_of_birth,date_of_death,achievements,industry,family,associations,controversies,discography,filmography,genres,influence,political_orientation,gender,net_worth,images_path,biography
Justin,Timberlake,"January 31, 1981",Present,"10 Grammy Awards, NSYNC success","Music, Acting","Wife: Jessica Biel, Children: Silas, Phineas","Britney Spears, Timbaland, Pharrell Williams",Super Bowl wardrobe malfunction,"Justified, FutureSex/LoveSounds, The 20/20 Experience","Friends with Benefits, Trolls","Pop, R&B","Pop culture, dance, vocal ability",Liberal,Male,$250 million,src/Data/Images/Justin_Timberlake/timberlake.png,"Justin Randall Timberlake is an American singer, songwriter, record producer, actor, and dancer. Dubbed the 'Prince of Pop' , Billboard honored him as the best performing male solo act on Pop Airplay and one of the Greatest Pop Stars of the 21st Century. Timberlake remains among the best-selling recording artists of all time, with sales of over 117 million records worldwide. His awards include ten Grammy Awards, four Primetime Emmy Awards, three Brit Awards, nine Billboard Music Awards, the Contemporary Icon Award by the Songwriters Hall of Fame, and MTV's Michael Jackson Video Vanguard Award."
Kanye,West,"June 8, 1977",Present,21 Grammy Awards,"Music, Fashion, Business","Wife: Kim Kardashian (formerly), Children: North, Saint, Chicago, Psalm","Jay-Z, Kid Cudi, Lil Wayne, Drake, Pusha T","Comments on slavery, Taylor Swift incident, Politics, Antisemitic comments","The College Dropout, Late Registration, Graduation, 808s & Heartbreak, My Beautiful Dark Twisted Fantasy, Yeezus, The Life of Pablo, Ye, Jesus is King, Donda, Vultures","Jesus is King documentary, Runaway","Hip hop, Gospel, Electronic, Experimental","music production, fashion, pop culture","Conservative leanings, support for Donald Trump",Male,$6.6 billion,src/Data/Images/Kanye_West/kanye.png,"Kanye West is an American rapper and record producer. One of the most prominent figures in hip-hop, he is known for his varying musical style and polarizing cultural and political commentary. After dropping out of college to pursue a career in music, West began producing for regional artists in the Chicago area. As an in-house producer for Roc-A-Fella Records, he co-produced albums including Jay-Z's The Blueprint (2001) before signing with the label as a recording artist. West's debut studio album, The College Dropout (2004), was met with critical acclaim and yielded the Billboard Hot 100-number one single 'Slow Jamz'. He peaked the chart on four other occasions with the singles 'Gold Digger' (2005), 'Stronger' (2007), 'E.T' (2011, as a featured artist), and 'Carnival' (2024). West's second and third studio albums, Late Registration (2005) and Graduation (2007), both debuted atop the Billboard 200, the latter becoming West's most commercially successful to date. Three of his subsequent albums, 808s & Heartbreak (2008), My Beautiful Dark Twisted Fantasy (2010), and The Life of Pablo (2016), were certified triple platinum, and Yeezus (2013) was certified double platinum. Ye (2018), Jesus Is King (2019), and Donda (2021) continued West's series of consecutive number one debuts on the Billboard 200. West has also released the collaborative albums Watch the Throne (2011) with Jay-Z, Kids See Ghosts (2018) with Kid Cudi, as well as Vultures 1 and Vultures 2 (2024) with Ty Dolla Sign. In fashion design, he has collaborated with Nike, Inc., Louis Vuitton, and Gap Inc. on clothing and footwear, and led the Yeezy collaboration with Adidas. One of the world's best-selling music artists with 160 million records sold, West has won 24 Grammy Awards, the 7th-most of all time. His other accolades include a Billboard Artist Achievement Award, a joint-record three Brit Awards for Best International Male Solo Artist, and the Michael Jackson Video Vanguard Award. West holds the joint record (with Bob Dylan) for most albums (4) topping the annual Pazz & Jop critic poll. Time named him one of the 100 most influential people in the world in 2005 and 2015. West's first six solo albums were included on Rolling Stone's 500 Greatest Albums of All Time list in 2020, with the same publication naming him one of the 100 Greatest Songwriters of All Time. West's outspoken views have received significant media coverage. He has been a frequent source of controversy due to his conduct on social media, at award shows and in public settings, as well as his comments on the music and fashion industries, U.S. politics, race, and slavery. His Christian faith, high-profile marriage to Kim Kardashian, and mental health have also been topics of media attention. In 2020, West launched an unsuccessful independent presidential campaign that advocated for a consistent life ethic. Starting in 2022, West has drawn widespread condemnation—and lost sponsors and partnerships—for his antisemitic views. He has self-identified as a Nazi, praised Adolf Hitler, used swastika imagery, and denied the Holocaust."
Katy,Perry,"October 25, 1984",Present,"American Idol judge, Diamond-certified singles",Music,"Husband: Orlando Bloom, Child: Daisy Dove","Taylor Swift (formerly rival), Snoop Dogg","Super Bowl shark meme, Cultural appropriation","Teenage Dream, Prism, Witness","The Smurfs, Katy Perry: Part of Me",Pop,"Catchy pop hits, colorful aesthetics",Liberal,Female,$340 million,src/Data/Images/Katy_Perry/Katyperryheadshot.png,"Katheryn Elizabeth Hudson, known professionally as Katy Perry, is an American singer, songwriter, and television personality. Perry is one of the best-selling music artists in history, having sold over 143 million units worldwide. She is known for her influence on pop music and her camp style, being dubbed the 'Queen of Camp' by Vogue and Rolling Stone. At 16, Perry released a gospel record titled Katy Hudson (2001) under Red Hill Records, which was commercially unsuccessful. She moved to Los Angeles at 17 to venture into secular music, and later adopted the stage name 'Katy Perry' from her mother's maiden name. She recorded an album while signed to Columbia Records, but was dropped before signing to Capitol Records. Perry rose to fame with One of the Boys (2008), a pop rock record containing her debut single 'I Kissed a Girl' and follow-up single 'Hot n Cold', which reached number one and three on the U.S. Billboard Hot 100 respectively."
Kevin,Fowler,"May 11, 1966",Present,Country music success,Music,"Wife: Amy Fowler, Children: 3","George Strait, Cody Johnson",None major,"Loose, Loud & Crazy, Bring It On",None major,Country,Traditional country style,Conservative,Male,$5 million,src/Data/Images/Kevin_Fowler/kevinfowlerheadshot.jpg,"Kevin Fowler is an American singer-songwriter. He has released five studio albums, and has charted four singles on the Billboard Hot Country Songs charts, including the top 40 hit 'Pound Sign (#?*!)' . In addition, he wrote Sammy Kershaw's 2003 single 'Beer, Bait & Ammo',  Mark Chesnutt's 2004 single 'The Lord Loves the Drinkin' Man' and Montgomery Gentry's 2009 single 'Long Line of Losers'."
Leonardo,DiCaprio,"November 11, 1974",Present,"Oscar-winning actor, Environmental activism",Acting,Dating: Various models,"Martin Scorsese, Brad Pitt",Private jet environmental hypocrisy,,"Titanic, Inception, The Wolf of Wall Street","Drama, Thriller","Acting excellence, climate activism",Liberal,Male,$300 million,src/Data/Images/Leonardo_DiCaprio/leonardo.png,"Leonardo Wilhelm DiCaprio is an American actor and film producer. Known for his work in biographical and period films, he is the recipient of numerous accolades, including an Academy Award, a British Academy Film Award, and three Golden Globe Awards. As of 2019, his films have grossed over $7.2 billion worldwide, and he has been placed eight times in annual rankings of the world's highest-paid actors. Born in Los Angeles, DiCaprio began his career in the late 1980s by appearing in television commercials. He had a recurring role in the sitcom Parenthood (1990-1991), and had his first major film part as author Tobias Wolff in This Boy's Life (1993). He received critical acclaim and his first Academy Award nomination for playing a developmentally disabled boy in What's Eating Gilbert Grape (1993). DiCaprio achieved international stardom with the star-crossed romances Romeo + Juliet (1996) and Titanic (1997). After the latter became the highest-grossing film in the world at the time, he reduced his workload for a few years. In an attempt to shed his image of a romantic hero, DiCaprio sought roles in other genres, including the 2002 crime dramas Catch Me If You Can and Gangs of New York; the latter marked the first of his many successful collaborations with director Martin Scorsese."
Mark,Zuckerberg,"May 14, 1984",Present,Co-founder of Facebook,"Technology, Business","Wife: Priscilla Chan, Children: 3","Elon Musk, Bill Gates","Privacy concerns, Election interference",,,Social media,Social media revolution,Liberal,Male,$120 billion,src/Data/Images/Mark_Zuckerberg/zucc.png,"Mark Elliot Zuckerberg is an American businessman who co-founded the social media service Facebook and its parent company Meta Platforms, of which he is the chairman, chief executive officer, and controlling shareholder. Zuckerberg has been the subject of multiple lawsuits regarding the creation and ownership of the website as well as issues such as user privacy. Zuckerberg briefly attended Harvard College, where he launched Facebook in February 2004 with his roommates Eduardo Saverin, Andrew McCollum, Dustin Moskovitz and Chris Hughes. Zuckerberg took the company public in May 2012 with majority shares. He became the world's youngest self-made billionaire in 2008, at age 23, and has consistently ranked among the world's wealthiest individuals. According to Forbes, as of March 2025, Zuckerberg's estimated net worth stood at US$214.1 billion, making him the second richest individual in the world,[2] behind Elon Musk and before Jeff Bezos."
Marilyn,Monroe,"June 1, 1926","August 5, 1962","Iconic actress, Cultural icon","Acting, Modeling","Husbands: Joe DiMaggio, Arthur Miller","JFK, Frank Sinatra","Affair rumors, Mysterious death",,"Some Like It Hot, The Seven Year Itch","Romance, Comedy","Sex symbol, Hollywood legend",Liberal,Female,,src/Data/Images/Marilyn_Monroe/Marilynmonroeheadshot.jpg,"Marilyn Monroe born Norma Jeane Mortenson was an American actress and model. Known for playing comic 'blonde bombshell' characters, she became one of the most popular sex symbols of the 1950s and early 1960s, as well as an emblem of the era's sexual revolution. She was a top-billed actress for a decade, and her films grossed $200 million (equivalent to $2 billion in 2024) by her death in 1962. Born in Los Angeles, Monroe spent most of her childhood in foster homes and an orphanage before marrying James Dougherty at the age of 16. She was working in a factory during World War II when she met a photographer from the First Motion Picture Unit and began a successful pin-up modeling career, which led to short-lived film contracts with 20th Century Fox and Columbia Pictures. After roles as a freelancer, she began a longer contract with Fox in 1951, becoming a popular actress with roles in several comedies, including As Young as You Feel and Monkey Business, and in the dramas Clash by Night and Don't Bother to Knock. Monroe faced a scandal when it was revealed that she had posed for nude photographs prior to fame, but the story resulted in increased interest in her films."
Michael,Jordan,"February 17, 1963",Present,"6-time NBA champion, Billionaire",Sports,"Ex-Wife: Juanita Vanoy, Wife: Yvette Prieto, Children: 5","Scottie Pippen, Phil Jackson",Gambling rumors,,Space Jam,Basketball,Global basketball icon,Apolitical,Male,$2 billion,src/Data/Images/Michael_Jordan/Michaeljordanheadshot.jpg,"Michael Jeffrey Jordan, also known by his initials MJ, is an American businessman and former professional basketball player. He played 15 seasons in the National Basketball Association (NBA) between 1984 and 2003, winning six NBA championships with the Chicago Bulls. He was integral in popularizing basketball and the NBA around the world in the 1980s and 1990s, becoming a global cultural icon. Jordan played college basketball with the University of North Carolina Tar Heels. As a freshman, he was a member of the Tar Heels' national championship team in 1982. Jordan joined the Bulls as the third overall draft pick and quickly emerged as a league star, entertaining crowds with his prolific scoring while gaining a reputation as one of the best defensive players. His leaping ability, demonstrated by performing slam dunks from the free-throw line in Slam Dunk Contests, earned him the nicknames 'Air Jordan' and 'His Airness.' Jordan won his first NBA title with the Bulls and followed that achievement with titles in 1992 and 1993, securing a three-peat. Citing physical and mental exhaustion from basketball and superstardom, Jordan abruptly retired from basketball before the NBA season to play Minor League Baseball in the Chicago White Sox organization. He returned to the Bulls in March and led them to three more championships in 1996, 1997, and 1998, as well as a then-record 72 regular season wins in the NBA season. Jordan retired for the second time in January, returning for two more NBA seasons from 2001 to 2003 as a member of the Washington Wizards. He was selected to play for the United States national team during his college and NBA careers, winning four gold medals—at the Pan American Games, Summer Olympics, Tournament of the Americas, and Summer Olympics—while also being undefeated."
Mahatma,Gandhi,"October 2, 1869","January 30, 1948",Led Indian independence movement,Politics,"Wife: Kasturba Gandhi, Children: Harilal, Manilal, Ramdas, Devdas",Jawaharlal Nehru,"Views on caste, Treatment of women",,,Political activism,"Nonviolent resistance, Indian independence",Apolitical,Male,,src/Data/Images/Mahatma_Gandhi/ghandi.png,"Mohandas Karamchand Gandhi was an Indian lawyer, anti-colonial nationalist, and political ethicist who employed nonviolent resistance to lead the successful campaign for India's independence from British rule. He inspired movements for civil rights and freedom across the world. The honorific Mahātmā (from Sanskrit, meaning great-souled, or venerable), first applied to him in South Africa in, is now used throughout the world. Born and raised in a Hindu family in coastal Gujarat, Gandhi trained in the law at the Inner Temple in London and was called to the bar at the age of. After two uncertain years in India, where he was unable to start a successful law practice, Gandhi moved to South Africa in to represent an Indian merchant in a lawsuit. He went on to live in South Africa for years. Here, Gandhi raised a family and first employed nonviolent resistance in a campaign for civil rights. In, aged, he returned to India and soon set about organising peasants, farmers, and urban labourers to protest against discrimination and excessive land tax."
Nelson,Mandela,"July 18, 1918","December 5, 2013","Anti-apartheid leader, South African President",Politics,"Wife: Winnie Mandela, Children: Makaziwe, Zenani","Desmond Tutu, FW de Klerk",ANC militant past,,,Politics,End of apartheid,Liberal,Male,,src/Data/Images/Nelson_Mandela/nelson.png,"Nelson Rolihlahla Mandela born Rolihlahla Mandela; was a South African anti-apartheid activist and politician who served as the first president of South Africa from to. He was the country's first black head of state and the first elected in a fully representative democratic election. His government focused on dismantling the legacy of apartheid by fostering racial reconciliation. Ideologically an African nationalist and socialist, he served as the president of the African National Congress (ANC) party from to. A Xhosa, Mandela was born into the Thembu royal family in Mvezo, South Africa. He studied law at the University of Fort Hare and the University of Witwatersrand before working as a lawyer in Johannesburg. There he became involved in anti-colonial and African nationalist politics, joining the ANC in and co-founding its Youth League in. After the National Party's white-only government established apartheid, a system of racial segregation that privileged whites, Mandela and the ANC committed themselves to its overthrow. He was appointed president of the ANC's Transvaal branch, rising to prominence for his involvement in the Defiance Campaign and the Congress of the People. He was repeatedly arrested for seditious activities and was unsuccessfully prosecuted in the Treason Trial. Influenced by Marxism, he secretly joined the banned South African Communist Party (SACP). Although initially committed to non-violent protest, in association with the SACP he co-founded the militant uMkhonto we Sizwe in that led a sabotage campaign against the apartheid government. He was arrested and imprisoned in, and, following the Rivonia Trial, was sentenced to life imprisonment for conspiring to overthrow the state."
Oprah,Winfrey,"January 29, 1954",Present,"Talk show legend, Billionaire","Media, Business",Partner: Stedman Graham,"Gayle King, Michelle Obama",Meghan Markle interview,"O magazine, OWN network",The Color Purple,"Talk show, Drama",Inspirational media mogul,Liberal,Female,$2.8 billion,src/Data/Images/Oprah_Winfrey/oprah.png,"Oprah Gail Winfrey, also known mononymously as Oprah, is an American talk show host, television producer, actress, author, and media proprietor. She is best known for her talk show, The Oprah Winfrey Show, broadcast from Chicago, which ran in national syndication for years, from to. Dubbed the 'Queen of All Media', she was the richest African-American of the century and was once the world's only black billionaire. By, she was often ranked as the most influential woman in the world. Winfrey was born into poverty in rural Mississippi to a single teenage mother and later raised in inner-city Milwaukee. She has stated that she was molested during her childhood and early teenage years and became pregnant at ; her son was born prematurely and died in infancy. Winfrey was then sent to live with the man she calls her father, Vernon Winfrey, a barber in Nashville, Tennessee, and landed a job in radio while still in high school. By, she was a co-anchor for the local evening news. Winfrey's often emotional, extemporaneous delivery eventually led to her transfer to the daytime talk show arena, and after boosting a third-rated local Chicago talk show to first place, she launched her own production company."
